Barcode,Product Name,Packing Size String,Packing Size,Packing Calc,Previous Price,Discount,Pack Price,Supplier,Selling Price,Promotion Price,Other,Filename
,Hacks Regular,50x100gm,50.0,50 × 1 = 50,38.4,0.0,38.4,Razon Trading Pte Ltd,0.0,0.0,,Razon PTE Ltd..pdf
,Hacks Clover & Apple,50x100gm,50.0,50 × 1 = 50,38.4,0.0,38.4,Razon Trading Pte Ltd,0.0,0.0,,Razon PTE Ltd..pdf
,Hacks Mandarin Ginger,50x100gm,50.0,50 × 1 = 50,38.4,0.0,38.4,Razon Trading Pte Ltd,0.0,0.0,,Razon PTE Ltd..pdf
,Hacks Honey Lemon,50x100gm,50.0,50 × 1 = 50,38.4,0.0,38.4,Razon Trading Pte Ltd,0.0,0.0,,Razon PTE Ltd..pdf
,Hacks Blackcurrant,50x100gm,50.0,50 × 1 = 50,38.4,0.0,38.4,Razon Trading Pte Ltd,0.0,0.0,,Razon PTE Ltd..pdf
,CADBURY CHOCOLATE BITE SIZE ALMOND,120GM x 24,24.0,1 × 24 = 24,60.0,0.0,60.0,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,CADBURY CHOCOLATE DOYPACK OREO,125GM x 16,16.0,1 × 16 = 16,40.0,0.0,40.0,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,CADBURY CHOCOLATE SHAREBAG MILK,115GM x 10 x 16,160.0,1 × 10 × 16 = 160,40.0,0.0,40.0,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,ADIDAS DEO SPRAY DYNAMIC PULSE,150ML x 12,12.0,1 × 12 = 12,27.2,0.0,27.2,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,DETTOL ANTISEPTIC LIQUID (INDIA) ORIGINAL (PET),1LT x 12,12.0,1 × 12 = 12,57.0,0.0,57.0,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,DETTOL ANTISEPTIC LIQUID (INDIA) ORIGINAL,550ML x 24,24.0,1 × 24 = 24,67.2,0.0,67.2,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,DOVE BODYWASH (INDIA) SAKURA (NFS) (PI),1LTR x 12,12.0,1 × 12 = 12,48.65,0.0,48.65,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,DOVE BODYWASH (INDIA) SENSITIVE SKIN (NFS) (PI),1LTR x 12,12.0,1 × 12 = 12,48.65,0.0,48.65,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,DOVE SHAMPOO (UAE) DAILY CARE (NFS),400ML x 12,12.0,1 × 12 = 12,28.35,0.0,28.35,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
,DOWNY FABRIC SOFTNER GARDEN BLOOM CLEAN-SLOB,240ML x 24,24.0,1 × 24 = 24,11.52,0.0,11.52,BHAVNA PTE LTD,0.0,0.0,,Bhavna PTE Ltd..pdf
