Product Name,Processed Product Name,Packing Style,Packing Size,Packing Price,Previous Packing Price,Exchange Rate,Supplier
OBASAN STEAM CAKE PANDAN 100G,OBASAN STEAM CAKE PANDAN,100G,20.0,12.5,,1.0,TGS GROUP SDN BHD
NESTLE MILO NUGGETS 30G,NESTLE MILO NUGGETS,30G,30.0,19.7,,1.0,TGS GROUP SDN BHD
HSC OLDENLANDIA WATER 325ML,HSC OLDENLANDIA WATER,325ML,24.0,11.5,,1.0,TGS GROUP SDN BHD
CRACKER CAP MENARA SPICY 80G,CRACKER CAP MENARA SPICY,80G,30.0,16.2,,1.0,TGS GROUP SDN BHD
KNORR CUP MASHED POTATO MUSHROOM 26G,KNORR CUP MASHED POTATO MUSHROOM,26G,36.0,44.0,,1.0,TGS GROUP SDN BHD
MUNCHYS ORIGINAL CREAM CRKS 375G,MUNCHYS ORIGINAL CREAM CRKS,375G,12.0,18.85,,1.0,TGS GROUP SDN BHD
F&N FRUITADE 500ML,F&N FRUITADE,500ML,24.0,13.2,,1.0,TGS GROUP SDN BHD
JULIES LOVE LETTERS 360G - CHOC,JULIES LOVE LETTERS,360G,6.0,20.5,,1.0,TGS GROUP SDN BHD
DOUBLE DECKER MINI PRAWN CRK 15Gx8,DOUBLE DECKER MINI PRAWN CRK,15Gx8,8.0,8.5,,1.0,TGS GROUP SDN BHD
OBASAN STEAM CAKE STRAWBERRY 100G,OBASAN STEAM CAKE STRAWBERRY,100G,20.0,12.5,,1.0,TGS GROUP SDN BHD
JULIES CHEESE SWICH 360G,JULIES CHEESE SWICH,360G,12.0,34.5,,1.0,TGS GROUP SDN BHD
CRACKER CAP MENARA ORIG 80G,CRACKER CAP MENARA ORIG,80G,30.0,16.2,,1.0,TGS GROUP SDN BHD
MUNCHYS LEXUS CRKS VEGETABLE 200G,MUNCHYS LEXUS CRKS VEGETABLE,200G,12.0,20.5,,1.0,TGS GROUP SDN BHD
MUNCHYS OAT KRUNCH BFAST 192G - CHIA SEED MILK,MUNCHYS OAT KRUNCH BFAST,192G,12.0,21.0,,1.0,TGS GROUP SDN BHD
DYNAMO DET LIQ ROSE 2.5L,DYNAMO DET LIQ ROSE,2.5L,6.0,40.8,,1.0,TGS GROUP SDN BHD
